epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.0529,1.97532,3.69946,1.95511,0.00352,0.59744,0.05042,0.02991,1.62924,3.63586,1.88114,2.5e-05,2.5e-05,2.5e-05
2,46.2193,1.88398,3.69346,1.88202,0.00357,0.61603,0.05313,0.0318,1.62721,3.61971,1.86481,6.19844e-05,6.19844e-05,6.19844e-05
3,48.3681,1.74044,3.6138,1.79756,0.0037,0.6016,0.06489,0.04012,1.52431,3.60844,1.77986,9.835e-05,9.835e-05,9.835e-05
4,50.5608,1.75723,3.58326,1.8177,0.00507,0.59519,0.07946,0.04241,1.44637,3.61078,1.70267,0.000134097,0.000134097,0.000134097
5,52.7258,1.60461,3.39484,1.69953,0.00822,0.60801,0.10394,0.05474,1.43412,3.56192,1.6714,0.000169225,0.000169225,0.000169225
6,54.8956,1.65663,3.23593,1.73346,0.01021,0.62244,0.13801,0.07517,1.54375,3.53778,1.72868,0.000203734,0.000203734,0.000203734
7,57.0599,1.70096,2.99806,1.76145,0.01007,0.66132,0.17805,0.10174,1.58502,3.53078,1.74995,0.000237625,0.000237625,0.000237625
8,59.2141,1.65211,2.78015,1.69272,0.00905,0.71635,0.22358,0.11951,1.6002,3.47003,1.71483,0.000270897,0.000270897,0.000270897
9,61.3933,1.57367,2.64839,1.68724,0.00573,0.72276,0.25962,0.15202,1.52722,3.47009,1.65272,0.00030355,0.00030355,0.00030355
10,63.558,1.68003,2.5909,1.73508,0.00526,0.68109,0.24744,0.14328,1.58227,3.50866,1.66683,0.000335584,0.000335584,0.000335584
11,65.6755,1.70551,2.51226,1.67136,0.00511,0.66891,0.27655,0.14395,1.672,3.46633,1.75333,0.000367,0.000367,0.000367
12,67.8557,1.62042,2.35894,1.64617,0.00557,0.67639,0.27826,0.16106,1.53712,3.40461,1.64718,0.000397797,0.000397797,0.000397797
13,70.1635,1.57812,2.20849,1.59628,0.00435,0.71004,0.26763,0.15029,1.62726,3.38367,1.63956,0.000427975,0.000427975,0.000427975
14,72.3237,1.55708,2.15036,1.59049,0.00431,0.73504,0.26235,0.1391,1.65604,3.35082,1.72313,0.000457534,0.000457534,0.000457534
15,74.4828,1.5588,1.98714,1.54518,0.00434,0.68504,0.21727,0.11359,1.77272,3.35067,1.80972,0.000486475,0.000486475,0.000486475
16,76.6698,1.54952,1.99313,1.56793,0.00561,0.68387,0.22898,0.1197,1.72357,3.36908,1.82042,0.000514797,0.000514797,0.000514797
17,78.8228,1.58454,2.11411,1.5889,0.88009,0.08333,0.231,0.11662,1.86401,3.36316,1.96096,0.0005425,0.0005425,0.0005425
18,81.0031,1.54586,1.88447,1.52195,0.91796,0.05257,0.28454,0.14618,1.69583,3.15614,1.80636,0.000569584,0.000569584,0.000569584
19,83.1652,1.48248,1.80257,1.46987,0.91093,0.04642,0.27374,0.12528,1.6637,3.13221,1.77158,0.00059605,0.00059605,0.00059605
20,85.288,1.4842,1.88041,1.52069,0.96932,0.05769,0.26726,0.12382,1.79142,3.14369,1.80466,0.000621897,0.000621897,0.000621897
21,87.4135,1.60369,1.86124,1.52006,0.00683,0.76026,0.15486,0.06849,1.97323,3.30445,1.89492,0.000647125,0.000647125,0.000647125
22,89.5781,1.60671,1.85379,1.52502,0.48341,0.2769,0.18913,0.0937,1.80917,3.23655,1.88701,0.000671734,0.000671734,0.000671734
23,91.7177,1.49605,1.75925,1.50807,0.68041,0.04893,0.15604,0.0855,1.73211,3.30672,1.84472,0.000695725,0.000695725,0.000695725
24,93.8761,1.5354,1.74889,1.50199,0.80567,0.08518,0.25227,0.12173,1.77764,3.13319,1.81661,0.000719097,0.000719097,0.000719097
25,96.0267,1.54632,1.77509,1.50814,0.70261,0.08219,0.23177,0.13209,1.74449,3.14586,1.82688,0.00074185,0.00074185,0.00074185
26,98.1734,1.46955,1.69716,1.464,0.88721,0.07802,0.20462,0.09584,1.82362,3.17879,1.94939,0.000763984,0.000763984,0.000763984
27,100.315,1.47838,1.72301,1.49252,0.84915,0.10897,0.26581,0.13654,1.77836,3.04705,1.94764,0.0007855,0.0007855,0.0007855
28,102.456,1.47976,1.67048,1.47127,0.46037,0.19818,0.22857,0.12124,1.97655,3.04448,2.03902,0.000806397,0.000806397,0.000806397
29,104.657,1.50095,1.76392,1.48737,0.56155,0.19078,0.28223,0.14966,1.88944,3.10534,2.09983,0.000826675,0.000826675,0.000826675
30,106.876,1.46078,1.58745,1.45084,0.4387,0.25844,0.21628,0.10376,1.91316,3.10006,2.0168,0.000846334,0.000846334,0.000846334
31,109.012,1.53704,1.73252,1.4768,0.53757,0.19823,0.33829,0.16998,1.82051,2.97161,1.8983,0.000865375,0.000865375,0.000865375
32,111.234,1.4921,1.60854,1.43452,0.65465,0.20673,0.21335,0.09537,1.90136,3.10874,2.0214,0.000883797,0.000883797,0.000883797
33,113.388,1.53122,1.67242,1.50983,0.66259,0.16667,0.18607,0.10396,1.7722,2.97121,1.92081,0.0009016,0.0009016,0.0009016
34,115.503,1.44154,1.59018,1.44488,0.34066,0.21571,0.18732,0.11422,1.80631,3.08946,1.99057,0.000909688,0.000909688,0.000909688
35,117.645,1.51102,1.58931,1.47016,0.39719,0.1484,0.15013,0.06675,2.03533,3.57361,2.40594,0.000899375,0.000899375,0.000899375
36,119.793,1.43475,1.56646,1.48732,0.75544,0.05769,0.06072,0.03183,2.08954,3.97184,2.52642,0.000889062,0.000889062,0.000889062
37,121.968,1.46852,1.58597,1.47254,0.42985,0.14334,0.09452,0.03568,2.00789,3.45428,2.33652,0.00087875,0.00087875,0.00087875
38,124.098,1.42191,1.49993,1.41897,0.32182,0.20237,0.20687,0.09321,1.81971,3.09697,1.99154,0.000868437,0.000868437,0.000868437
39,126.25,1.45661,1.56074,1.45118,0.35097,0.25024,0.29056,0.13117,1.90621,2.97045,1.98928,0.000858125,0.000858125,0.000858125
40,128.389,1.41519,1.46855,1.43483,0.61396,0.27204,0.31471,0.16602,1.90889,2.77704,2.00055,0.000847813,0.000847813,0.000847813
