epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3690.62,1.35912,1.36176,1.50429,0.55672,0.46906,0.50238,0.34003,1.2641,1.15595,1.36877,0.006535,0.006535,0.006535
44,3775.08,1.35602,1.35729,1.50431,0.57523,0.44726,0.51019,0.34938,1.27327,1.17221,1.37595,0.0064525,0.0064525,0.0064525
45,3858.79,1.3491,1.35201,1.50088,0.57318,0.4563,0.51582,0.34862,1.26579,1.12904,1.37591,0.00637,0.00637,0.00637
46,3943.25,1.35216,1.34979,1.50181,0.55727,0.46847,0.51113,0.35103,1.26187,1.13538,1.37386,0.0062875,0.0062875,0.0062875
47,4027.54,1.33779,1.33937,1.49243,0.59545,0.44938,0.52054,0.35559,1.2637,1.12442,1.36453,0.006205,0.006205,0.006205
48,4111.71,1.34614,1.33685,1.49569,0.5884,0.45519,0.51731,0.35397,1.25497,1.15282,1.36721,0.0061225,0.0061225,0.0061225
49,4196.05,1.34212,1.33095,1.49511,0.5958,0.47104,0.51941,0.35656,1.24927,1.11768,1.36217,0.00604,0.00604,0.00604
50,4280.33,1.33564,1.33373,1.49372,0.59123,0.47512,0.52431,0.35694,1.2555,1.105,1.35669,0.0059575,0.0059575,0.0059575
51,4364.35,1.34692,1.3278,1.4924,0.59386,0.46508,0.52337,0.35835,1.25908,1.10442,1.36208,0.005875,0.005875,0.005875
52,4448.3,1.32198,1.31005,1.48209,0.60113,0.45768,0.52489,0.36094,1.25278,1.1019,1.35938,0.0057925,0.0057925,0.0057925
53,4532.68,1.33337,1.30468,1.48214,0.5919,0.46373,0.52322,0.35708,1.26047,1.09638,1.36653,0.00571,0.00571,0.00571
54,4617.09,1.33268,1.30539,1.48079,0.57726,0.46975,0.51985,0.35582,1.25038,1.10636,1.35916,0.0056275,0.0056275,0.0056275
55,4701.71,1.3471,1.30277,1.48625,0.58816,0.46964,0.5196,0.3582,1.24891,1.10372,1.36522,0.005545,0.005545,0.005545
56,4786.15,1.32626,1.2927,1.47801,0.5985,0.46103,0.52165,0.35871,1.2512,1.09828,1.35725,0.0054625,0.0054625,0.0054625
57,4870.76,1.3254,1.29179,1.47438,0.58125,0.47413,0.51931,0.35756,1.24623,1.10741,1.35626,0.00538,0.00538,0.00538
58,4955.29,1.33194,1.2958,1.47828,0.57618,0.4786,0.52141,0.35861,1.24947,1.09694,1.35715,0.0052975,0.0052975,0.0052975
59,5040.28,1.3306,1.28744,1.47562,0.56994,0.4854,0.52196,0.36071,1.24667,1.09219,1.35717,0.005215,0.005215,0.005215
60,5123.99,1.3182,1.28196,1.47412,0.59018,0.47033,0.5268,0.36327,1.24253,1.08199,1.35249,0.0051325,0.0051325,0.0051325
61,5209.15,1.3127,1.27707,1.46904,0.59665,0.48039,0.53056,0.36481,1.23995,1.074,1.34829,0.00505,0.00505,0.00505
62,5293.72,1.33042,1.27935,1.47352,0.6022,0.48193,0.5327,0.36684,1.23564,1.06752,1.34601,0.0049675,0.0049675,0.0049675
63,5378.04,1.31248,1.267,1.46885,0.61071,0.47229,0.53342,0.36643,1.23511,1.06471,1.34497,0.004885,0.004885,0.004885
64,5461.72,1.31282,1.25702,1.46546,0.62195,0.47305,0.53559,0.36778,1.23806,1.06129,1.34698,0.0048025,0.0048025,0.0048025
65,5546,1.30886,1.26016,1.46517,0.62648,0.46959,0.5351,0.3671,1.23741,1.05921,1.34595,0.00472,0.00472,0.00472
66,5630.82,1.30953,1.25933,1.46284,0.63458,0.4635,0.53462,0.36652,1.24142,1.06574,1.3473,0.0046375,0.0046375,0.0046375
67,5715,1.30857,1.26159,1.46501,0.62085,0.47119,0.53557,0.36792,1.23872,1.06296,1.34442,0.004555,0.004555,0.004555
68,5798.69,1.30295,1.24821,1.46266,0.63101,0.46651,0.53628,0.3688,1.24055,1.0624,1.3444,0.0044725,0.0044725,0.0044725
69,5882.78,1.31011,1.25029,1.46155,0.62243,0.47192,0.53539,0.36931,1.23681,1.06581,1.34208,0.00439,0.00439,0.00439
70,5967.46,1.31813,1.24568,1.4621,0.60954,0.47526,0.53452,0.36945,1.23664,1.06133,1.34231,0.0043075,0.0043075,0.0043075
71,6051.92,1.30261,1.23942,1.4569,0.60991,0.46732,0.53338,0.36851,1.23655,1.06065,1.34382,0.004225,0.004225,0.004225
72,6136.53,1.29842,1.2309,1.4492,0.60238,0.47394,0.53379,0.36857,1.23529,1.06144,1.34377,0.0041425,0.0041425,0.0041425
73,6221.2,1.30738,1.23181,1.45415,0.6121,0.46888,0.53327,0.36858,1.23468,1.05809,1.34346,0.00406,0.00406,0.00406
74,6305.16,1.29155,1.22253,1.45145,0.61546,0.46942,0.53455,0.37038,1.23433,1.05486,1.34356,0.0039775,0.0039775,0.0039775
75,6389.57,1.30221,1.22735,1.45168,0.61059,0.47328,0.53445,0.3701,1.2331,1.05474,1.34193,0.003895,0.003895,0.003895
76,6473.81,1.29015,1.2174,1.44489,0.60346,0.48236,0.53565,0.37073,1.23387,1.05253,1.34104,0.0038125,0.0038125,0.0038125
77,6557.63,1.29578,1.21004,1.44402,0.6038,0.48157,0.53575,0.37098,1.23326,1.05231,1.34106,0.00373,0.00373,0.00373
78,6641.14,1.28708,1.21684,1.44852,0.60911,0.47936,0.53545,0.37129,1.23206,1.05149,1.34044,0.0036475,0.0036475,0.0036475
79,6725.67,1.29484,1.19995,1.44168,0.60624,0.48375,0.53559,0.37105,1.23229,1.04993,1.34021,0.003565,0.003565,0.003565
80,6810.01,1.27966,1.20175,1.43951,0.60581,0.48485,0.53611,0.3711,1.23185,1.04794,1.3398,0.0034825,0.0034825,0.0034825
