epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,130.255,1.36523,1.32703,1.42483,0.87608,0.62755,0.78685,0.38927,1.73886,1.40597,1.84334,0.000996313,0.000996313,0.000996313
43,132.656,1.29529,1.26229,1.39438,0.84437,0.6641,0.77365,0.43038,1.65696,1.35293,1.80352,0.000990125,0.000990125,0.000990125
44,134.963,1.40877,1.46332,1.48306,0.75718,0.72544,0.77324,0.40148,1.67369,1.30918,1.78909,0.000983938,0.000983938,0.000983938
45,137.472,1.36632,1.29519,1.43931,0.8196,0.66411,0.79311,0.41923,1.72493,1.29366,1.87958,0.00097775,0.00097775,0.00097775
46,139.828,1.32804,1.28381,1.41369,0.79694,0.63335,0.72755,0.3671,1.7623,1.48402,1.94291,0.000971562,0.000971562,0.000971562
47,141.994,1.32305,1.25223,1.39329,0.74143,0.68956,0.72092,0.37012,1.7156,1.44652,1.84277,0.000965375,0.000965375,0.000965375
48,144.614,1.31606,1.2593,1.40847,0.85779,0.56431,0.6763,0.34418,1.80638,1.51577,1.95994,0.000959187,0.000959187,0.000959187
49,146.979,1.25848,1.21325,1.35078,0.75442,0.71386,0.75772,0.39143,1.73998,1.27725,1.89783,0.000953,0.000953,0.000953
50,149.29,1.34233,1.32717,1.45766,0.77954,0.72338,0.80029,0.41429,1.77099,1.27413,1.92032,0.000946812,0.000946812,0.000946812
51,151.506,1.2817,1.22667,1.3817,0.78799,0.65092,0.75655,0.40256,1.73782,1.38006,1.83999,0.000940625,0.000940625,0.000940625
52,153.949,1.323,1.28175,1.41617,0.8628,0.65576,0.75042,0.40224,1.69708,1.3976,1.83644,0.000934438,0.000934438,0.000934438
53,156.243,1.27022,1.19688,1.3612,0.83175,0.64183,0.74914,0.37521,1.77573,1.42624,1.94263,0.00092825,0.00092825,0.00092825
54,158.515,1.23771,1.14242,1.3557,0.81452,0.62369,0.74059,0.39931,1.74053,1.35192,1.93783,0.000922063,0.000922063,0.000922063
55,160.898,1.22318,1.10696,1.33962,0.84817,0.64427,0.78616,0.41448,1.70671,1.36955,1.89698,0.000915875,0.000915875,0.000915875
56,163.28,1.27344,1.14804,1.3722,0.76735,0.53658,0.65787,0.33605,1.791,1.79698,1.9487,0.000909688,0.000909688,0.000909688
