epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,6426.83,1.16287,1.07252,1.32555,0.56564,0.46888,0.51001,0.34853,1.16055,1.06395,1.30192,0.000307,0.000307,0.000307
44,6575.48,1.16773,1.06737,1.322,0.57959,0.46347,0.5136,0.35166,1.15284,1.04949,1.30332,0.0002905,0.0002905,0.0002905
45,6724.89,1.1465,1.05961,1.3134,0.5955,0.45489,0.52681,0.35991,1.1689,1.04564,1.30545,0.000274,0.000274,0.000274
46,6877.94,1.13983,1.05283,1.31456,0.57154,0.46544,0.52018,0.35352,1.1745,1.04995,1.31118,0.0002575,0.0002575,0.0002575
47,7028.43,1.15568,1.04786,1.31447,0.58849,0.46668,0.53202,0.36303,1.17317,1.04511,1.31455,0.000241,0.000241,0.000241
48,7183.81,1.13813,1.03319,1.30294,0.59087,0.45237,0.52304,0.35681,1.1711,1.04471,1.30853,0.0002245,0.0002245,0.0002245
49,7335.67,1.13311,1.03034,1.31005,0.6046,0.45588,0.53039,0.35918,1.174,1.02707,1.30214,0.000208,0.000208,0.000208
50,7488.16,1.1497,1.03433,1.31421,0.58309,0.46207,0.52483,0.35877,1.15849,1.04289,1.29997,0.0001915,0.0001915,0.0001915
51,7637.3,1.15353,0.98229,1.3326,0.58843,0.47326,0.53147,0.3633,1.16001,1.03051,1.29581,0.000175,0.000175,0.000175
52,7785.57,1.14227,0.96462,1.32332,0.5951,0.46535,0.53195,0.36622,1.15173,1.02631,1.2955,0.0001585,0.0001585,0.0001585
53,7937.18,1.13,0.94255,1.31601,0.5869,0.47038,0.53026,0.36282,1.15543,1.02752,1.29576,0.000142,0.000142,0.000142
54,8085.81,1.12703,0.92814,1.30973,0.58111,0.46319,0.52725,0.35958,1.15673,1.03426,1.29474,0.0001255,0.0001255,0.0001255
55,8232.65,1.12308,0.92036,1.31142,0.6006,0.46247,0.53048,0.36304,1.15703,1.02921,1.29454,0.000109,0.000109,0.000109
56,8377.96,1.10907,0.91126,1.30219,0.60328,0.46618,0.53531,0.36662,1.15219,1.01747,1.29108,9.25e-05,9.25e-05,9.25e-05
57,8521.44,1.11103,0.90288,1.29574,0.60629,0.47198,0.53909,0.36768,1.16015,1.01618,1.29588,7.6e-05,7.6e-05,7.6e-05
58,8668.09,1.1111,0.89591,1.29959,0.60648,0.47272,0.53844,0.3678,1.15353,1.01697,1.29022,5.95e-05,5.95e-05,5.95e-05
59,8813.28,1.10524,0.88581,1.29278,0.58968,0.47415,0.53693,0.36694,1.1594,1.0212,1.29461,4.3e-05,4.3e-05,4.3e-05
60,8958.62,1.08743,0.87652,1.28687,0.59587,0.47208,0.53946,0.37034,1.14814,1.01994,1.28711,2.65e-05,2.65e-05,2.65e-05
